Name,Date,Market_Cap
 HedgeTrade ,"Jul 05, 2019","203,812,617"
 HedgeTrade ,"Jul 04, 2019","202,073,419"
 HedgeTrade ,"Jul 03, 2019","211,231,701"
 HedgeTrade ,"Jul 02, 2019","204,616,158"
 HedgeTrade ,"Jul 01, 2019","201,786,577"
 HedgeTrade ,"Jun 30, 2019","193,050,528"
 HedgeTrade ,"Jun 29, 2019","206,146,821"
 HedgeTrade ,"Jun 28, 2019","204,379,293"
 HedgeTrade ,"Jun 27, 2019","185,242,660"
 HedgeTrade ,"Jun 26, 2019","201,771,394"
 HedgeTrade ,"Jun 25, 2019","194,022,193"
 HedgeTrade ,"Jun 24, 2019","181,398,625"
 HedgeTrade ,"Jun 23, 2019","175,537,843"
 HedgeTrade ,"Jun 22, 2019","148,984,149"
 HedgeTrade ,"Jun 21, 2019","142,714,649"
 HedgeTrade ,"Jun 20, 2019","123,904,640"
 HedgeTrade ,"Jun 19, 2019","113,897,592"
 HedgeTrade ,"Jun 18, 2019","108,159,865"
 HedgeTrade ,"Jun 17, 2019","107,939,262"
 HedgeTrade ,"Jun 16, 2019","105,234,493"
 HedgeTrade ,"Jun 15, 2019","103,760,950"
 HedgeTrade ,"Jun 14, 2019","100,760,261"
 HedgeTrade ,"Jun 13, 2019","97,104,883"
 HedgeTrade ,"Jun 12, 2019","96,361,144"
 HedgeTrade ,"Jun 11, 2019","89,365,473"
 HedgeTrade ,"Jun 10, 2019","88,393,175"
 HedgeTrade ,"Jun 09, 2019","81,464,301"
 HedgeTrade ,"Jun 08, 2019","84,022,557"
 HedgeTrade ,"Jun 07, 2019","81,260,978"
 HedgeTrade ,"Jun 06, 2019","80,776,114"
 HedgeTrade ,"Jun 05, 2019","79,108,936"
 HedgeTrade ,"Jun 04, 2019","76,027,189"
 HedgeTrade ,"Jun 03, 2019","55,767,374"
 HedgeTrade ,"Jun 02, 2019","62,500,554"
 HedgeTrade ,"Jun 01, 2019","58,924,667"
 HedgeTrade ,"May 31, 2019","56,996,050"
 HedgeTrade ,"May 30, 2019","58,431,842"
 HedgeTrade ,"May 29, 2019","46,550,003"
 HedgeTrade ,"May 28, 2019","46,950,394"
 HedgeTrade ,"May 27, 2019","43,979,833"
 HedgeTrade ,"May 26, 2019","30,673,311"
 HedgeTrade ,"May 25, 2019","28,577,513"
 HedgeTrade ,"May 24, 2019","28,140,694"
 HedgeTrade ,"May 23, 2019","25,377,373"
 HedgeTrade ,"May 22, 2019","21,716,356"
 HedgeTrade ,"May 21, 2019",0
 HedgeTrade ,"May 20, 2019",0
 HedgeTrade ,"May 19, 2019",0
 HedgeTrade ,"May 18, 2019",0
 HedgeTrade ,"May 17, 2019",0
 HedgeTrade ,"May 16, 2019",0
 HedgeTrade ,"May 15, 2019",0
 HedgeTrade ,"May 14, 2019",0
 HedgeTrade ,"May 13, 2019",0
 HedgeTrade ,"May 12, 2019",0
 HedgeTrade ,"May 11, 2019",0
 HedgeTrade ,"May 10, 2019",0
 HedgeTrade ,"May 09, 2019",0
